arc_length,uh_0,uh_1,uh_2
0.01142,10.0192,0.0154992,0
0.01144,10.0192,0.015499,0
0.01146,10.0192,0.0154987,0
0.01148,10.0192,0.0154985,0
0.0115,10.0192,0.0154982,0
0.01152,10.0192,0.015498,0
0.01154,10.0192,0.0154977,0
0.01156,10.0192,0.0154975,0
0.01158,10.0192,0.0154973,0
0.0116,10.0192,0.015497,0
0.01162,10.0192,0.0154968,0
0.01164,10.0192,0.0154965,0
0.01166,10.0192,0.0154963,0
0.01168,10.0192,0.015496,0
0.0117,10.0192,0.0154958,0
0.01172,10.0192,0.0154955,0
0.01174,10.0192,0.0154953,0
0.01176,10.0192,0.0154951,0
0.01178,10.0192,0.0154948,0
0.0118,10.0192,0.0154946,0
0.01182,10.0192,0.0154943,0
0.01184,10.0192,0.0154941,0
0.01186,10.0192,0.0154938,0
0.01188,10.0192,0.0154936,0
0.0119,10.0192,0.0154933,0
0.01192,10.0192,0.0154931,0
0.01194,10.0192,0.0154929,0
0.01196,10.0192,0.0154926,0
0.01198,10.0192,0.0154924,0
0.012,10.0192,0.0154921,0
0.01202,10.0192,0.0154919,0
0.01204,10.0192,0.0154916,0
0.01206,10.0192,0.0154914,0
0.01208,10.0192,0.0154911,0
0.0121,10.0192,0.0154909,0
0.01212,10.0192,0.0154907,0
0.01214,10.0192,0.0154904,0
0.01216,10.0192,0.0154902,0
0.01218,10.0192,0.0154899,0
0.0122,10.0192,0.0154897,0
0.01222,10.0192,0.0154894,0
0.01224,10.0192,0.0154892,0
0.01226,10.0192,0.015489,0
0.01228,10.0192,0.0154887,0
0.0123,10.0192,0.0154885,0
0.01232,10.0192,0.0154882,0
0.01234,10.0192,0.015488,0
0.01236,10.0192,0.0154877,0
0.01238,10.0192,0.0154875,0
0.0124,10.0192,0.0154872,0
0.01242,10.0192,0.015487,0
0.01244,10.0192,0.0154868,0
0.01246,10.0192,0.0154865,0
0.01248,10.0192,0.0154863,0
0.0125,10.0192,0.015486,0
0.01252,10.0192,0.0154858,0
0.01254,10.0192,0.0154855,0
0.01256,10.0192,0.0154853,0
0.01258,10.0192,0.0154851,0
0.0126,10.0192,0.0154848,0
0.01262,10.0192,0.0154846,0
0.01264,10.0192,0.0154843,0
0.01266,10.0192,0.0154841,0
0.01268,10.0192,0.0154838,0
0.0127,10.0192,0.0154836,0
0.01272,10.0192,0.0154834,0
0.01274,10.0192,0.0154831,0
0.01276,10.0192,0.0154829,0
0.01278,10.0192,0.0154826,0
0.0128,10.0192,0.0154824,0
0.01282,10.0192,0.0154821,0
0.01284,10.0192,0.0154819,0
0.01286,10.0191,0.0154817,0
